ArtistName,Times
Stereo Avenue, 11
Desiigner, 14
Ellie Goulding, 63
G-Eazy, 4
Zara Larsson, 28
Jack Ü, 150
Hailee Steinfeld, 27
Jonas Blue, 45
Jason Derulo, 16
Fetty Wap, 3
Mariah Carey, 8
Bebe Rexha, 9
Pharrell Williams, 5
Portugal. The Man, 9
Starley, 3
Jessie J, 4
Bastille, 8
Lilly Wood and The Prick, 3
Halfway there, 1
Jon Bellion, 97
MAGIC!, 11
WALK THE MOON, 13
Galantis, 42
Mike Perry, 6
Flo Rida, 28
Pitbull, 7
Coldplay, 20
Cheat Codes, 25
Kungs, 5
Mr. Probz, 5
Meghan Trainor, 9
Nico & Vinz, 49
Rae Sremmurd, 6
Lorde, 13
Nicky Jam, 8
R. City, 15
Lil Dicky, 1
Chelsea Cutler, 7
KSI, 4
Kyle Dixon & Michael Stein, 20
Cayetana, 15
ILLENIUM, 50
OTR, 8
BAD CHILD, 16
Ages and Ages, 11
Chaz Cardigan, 3
Hanne Mjøen, 6
Lola Marsh, 6
The New Respects, 7
Hey Violet, 19
Hawk, 1
Alessia Cara, 48
Creedence Clearwater Revival, 4
21 Savage, 1
Kenneth Whalum, 5
Kosine, 11
Terrian, 4
Zaeden, 3
Troye Sivan, 4
Arijit Singh, 34
Ankur Tewari, 6
K.Flay, 67
X Ambassadors, 36
Lana Del Rey, 11
AWOLNATION, 6
Red Hot Chili Peppers, 40
Snoop Dogg, 14
The Script, 14
The Rolling Stones, 32
Linkin Park, 25
A Great Big World, 52
Naeleck, 4
Skylar Grey, 2
Lil Wayne, 6
Trevor Jones, 1
The Red Army Choir, 1
Corey Hart, 2
Vincenzo Salvia, 1
Hurricane Express, 1
New Order, 25
TOTO, 4
The Clash, 9
Television, 1
The Smiths, 2
Josh Gad, 6
Will Smith, 11
Mishaal, 1
RudeLies, 4
Jonas Brothers, 2
Siddharth Virkar, 3
DIVINE, 8
Nitesh, 3
Weezer, 1
Mob Rich, 1
Sirav Salu, 4
Pritam, 16
Tyla Yaweh, 13
Everybody Loves an Outlaw, 6
Curtis Waters, 36
Sam Grow, 1
Michele Morrone, 5
BeatKing, 4
Zoe Wees, 13
Rasster, 41
Chloe x Halle, 4
Jordan Suaste, 4
Juanfran, 2
Cochise, 2
Conkarah, 4
Carin Leon, 1
Polo G, 1
iann dior, 3
Iyaz, 1
TWICE, 1
S1mba, 3
Lil Yachty, 1
Dirty Streets, 7
San Holo, 3
Frankie Knuckles, 8
Lisa Gerrard, 23
Flux Pavilion, 23
Alice DJ, 1
Porter Robinson, 6
deadmau5, 15
Blue, 1
Tre Vibez, 1
KBFR, 2
Jack Harlow, 7
Jayda G, 29
Monte Booker, 1
Lux Thugs, 3
Dave, 7
Nathan Dawe, 6
Dave Porter, 107
Breaking Bad, 14
Rodrigo y Gabriela, 19
Mick Harvey, 3
Clyde McPhatter, 5
Ticklah, 1
Darondo, 2
Fujiya & Miyagi, 1
The Silver Seas, 3
Gnarls Barkley, 1
Apparat, 43
The Walkmen, 1
Delaney Jane, 1
Favourite Playlist, 4
The Teeta, 1
Heisenberg & The Albuquerque Kingpins, 1
Rain Radiance, 1
Study Radiance, 2
kirito, 1
Ramin Djawadi, 153
Tina Guo, 6
Jeet Gannguli, 8
Grizzly Bear, 1
Jon & Robin, 1
Bob Bradley, 1
Shura, 1
Pretty Lights, 15
The Outlaws, 1
Bob James, 1
SZA, 55
PUBLIC, 7
Amit Trivedi, 3
Ritviz, 85
Tanishk Bagchi, 1
Badshah, 2
Jasmine Sandlas, 1
Akhil, 1
Rochak Kohli, 1
Payal Dev, 1
Ajey Nagar (CarryMinati), 1
Vishal Mishra, 1
Sidhu Moose Wala,Amrit Maan, 2
Alka Yagnik, 3
BTS, 28
Sachet Tandon, 1
BLACKPINK, 37
Imany, 8
London Music Works, 1
Gryffin, 35
Bora York, 3
Dillon Francis, 85
Matthew E. White, 5
Anteros, 3
Confidence Man, 24
OYSTER KIDS, 2
Four Mints, 2
Sarah Jaffe, 2
Viigo, 2
Girls Names, 3
Matthew Dear, 16
Anna of the North, 19
Many Voices Speak, 3
The Pains Of Being Pure At Heart, 1
Tears For Fears, 2
TENDER, 1
GASHI, 2
Jauz, 2
Mercer, 2
Higher Brothers, 2
Anuv Jain, 2
Brxndead, 1
Prateek Kuhad, 9
Switchers, 2
Anthony Lazaro, 1
Blood Orange, 40
Eurythmics, 6
Michael Sembello, 6
a-ha, 3
Kenny Loggins, 1
Dermot Kennedy, 7
LANY, 6
ReN, 1
girl in red, 1
Reece, 1
Qhairo, 1
JORDY, 5
Aya Nakamura, 1
Armaan Malik, 1
HONNE, 2
Violette Wautier, 1
Nikhil D'Souza, 1
Parekh & Singh, 6
The Yellow Diary, 1
The Local Train, 2
Amy Cooper, 2
Sanskari Sex, 1
the Birdy Num Num Podcast, 2
13 Minutes to the Moon, 2
Conan O’Brien Needs A Friend, 5
Real Life Ghost Stories, 2
Dirty South, 16
Joel Corry, 43
Paul Woolford, 8
Disclosure, 24
R3HAB, 6
Aluna, 13
Ennio Morricone, 10
Max Richter, 8
John Williams, 5
James Newton Howard, 12
TED Talks Daily, 4
Meek Mill, 8
Anu Malik, 6
Nucleya, 18
Krewella, 1
Kavita Seth, 1
Nitin Sawhney, 1
